Order_ID,Date,Product,Category,Region,Sales,Quantity,Profit,Customer_Type
ORD00109,2025-10-23,File Folder,Office Supplies,West,440.8,8,30.68,New
ORD00126,2025-07-31,Printer,Office Supplies,North,101125.29,7,30082.57,Returning
ORD00047,2025-03-01,File Folder,Office Supplies,South,862.74,9,214.84,Returning
ORD00167,2025-05-22,Monitor,Electronics,North,184728.96,9,44971.9,Returning
ORD00231,2025-01-20,Monitor,Electronics,South,39175.28,2,9597.48,New
ORD00149,2025-12-20,Desk,Furniture,East,15545.37,3,5185.48,Returning
ORD00082,2025-03-26,Headphones,Electronics,East,15331.75,5,900.09,Returning
ORD00129,2025-10-10,Laptop,Electronics,East,669725.5,10,176094.17,New
ORD00032,2025-10-02,Pen,Office Supplies,South,492.3,6,40.75,New
ORD00250,2025-05-21,Table,Furniture,East,59900.28,6,16055.93,Returning
ORD00087,2025-04-13,Headphones,Electronics,North,9724.82,2,2387.7,New
ORD00014,2025-07-05,Tablet,Electronics,West,99599.12,4,21084.46,Returning
ORD00010,2025-10-01,Headphones,Electronics,North,22247.35,5,5674.5,New
ORD00019,2025-09-17,Table,Furniture,East,17330.33,1,5420.16,New
ORD00096,2025-08-19,File Folder,Office Supplies,North,890.5,10,272.06,Returning
ORD00214,2025-02-03,Keyboard,Electronics,North,12084.17,7,1830.87,Returning
ORD00240,2025-01-23,Monitor,Electronics,East,71976.48,4,17164.74,New
ORD00116,2025-08-06,File Folder,Office Supplies,East,365.28,8,43.84,New
ORD00015,2025-03-20,Headphones,Electronics,North,10348.62,3,799.67,New
ORD00041,2025-12-03,Bookshelf,Furniture,North,25051.88,4,1551.28,Returning
ORD00046,2025-12-08,Keyboard,Electronics,East,5443.65,3,1159.31,New
ORD00203,2025-09-29,Pen,Office Supplies,North,179.64,6,50.97,New
ORD00033,2025-08-15,Table,Furniture,South,28851.84,3,3853.55,New
ORD00078,2025-12-28,Monitor,Electronics,West,73877.94,9,7036.81,New
ORD00246,2025-12-21,Chair,Furniture,South,87570.96,8,14536.2,Returning
ORD00122,2025-11-22,Table,Furniture,South,116522.01,9,37848.89,Returning
ORD00239,2025-02-04,Laptop,Electronics,North,519691.06,7,65530.48,Returning
ORD00029,2025-05-05,Headphones,Electronics,South,21393.4,5,2444.65,Returning
ORD00064,2025-09-17,Smartphone,Electronics,North,232774.08,6,57964.53,Returning
ORD00083,2025-10-31,File Folder,Office Supplies,North,1858.4,8,639.69,Returning
ORD00151,2025-12-04,Headphones,Electronics,East,26418.0,7,5876.51,New
ORD00200,2025-07-27,Chair,Furniture,East,60442.3,10,14629.61,New
ORD00016,2025-07-15,Notebook,Office Supplies,North,737.82,-3,130.33,Returning
ORD00042,2025-05-03,Bookshelf,Furniture,South,58980.9,10,19487.99,Returning
ORD00059,2025-06-29,Notebook,Office Supplies,North,574.4,4,76.73,Returning
ORD00135,2025-06-14,Desk,Furniture,West,76175.84,8,16421.62,Returning
ORD00194,2025-08-09,Bookshelf,Furniture,North,41537.52,8,4763.14,Returning
ORD00037,2025-04-22,Pen,Office Supplies,South,626.13,9,122.72,Returning
ORD00206,2025-11-18,Table,Furniture,West,115515.68,8,,Returning
ORD00171,2025-03-08,Monitor,Electronics,East,56488.98,3,12924.37,New
ORD00228,2025-02-16,Printer,Office Supplies,South,22911.3,3,7368.09,Returning
ORD00052,2025-03-07,Pen,Office Supplies,South,177.3,3,53.26,Returning
ORD00213,2025-07-10,Pen,Office Supplies,South,793.52,8,164.43,Returning
ORD00115,2025-12-26,Table,Furniture,East,103137.3,10,6166.78,Returning
ORD00175,2025-08-23,Desk,Furniture,North,57448.6,10,11555.88,Returning
ORD00102,2025-06-30,Bookshelf,Furniture,West,33457.14,6,7001.8,Returning
ORD00086,2025-06-29,Printer,Office Supplies,North,51807.84,7,3863.41,New
ORD00098,2025-05-24,File Folder,Office Supplies,East,,6,47.73,Returning
ORD00227,2025-02-12,Table,Furniture,North,69245.04,6,5593.4,Returning
ORD00229,2025-07-22,Headphones,Electronics,West,43200.56,8,14219.1,New
ORD00139,2025-12-02,Smartphone,Electronics,South,460340.91,9,25136.58,Returning
ORD00092,2025-09-30,Bookshelf,Furniture,North,15350.96,2,3373.83,Returning
ORD00148,2025-12-13,Notebook,Office Supplies,West,797.45,5,199.4,Returning
ORD00237,2025-02-04,Monitor,Electronics,North,62239.84,4,6609.51,Returning
ORD00211,2025-08-19,Notebook,Office Supplies,South,494.4,4,95.27,New
ORD00174,2025-07-05,Pen,Office Supplies,West,401.45,7,109.88,Returning
ORD00038,2025-01-26,Laptop,Electronics,East,644294.9,10,43997.14,New
ORD00165,2025-12-20,Notebook,Office Supplies,East,513.52,2,120.52,New
ORD00199,2025-10-22,File Folder,Office Supplies,North,125.97,1,23.67,Returning
ORD00187,2025-10-15,Monitor,Electronics,South,112620.78,9,31396.61,Returning
ORD00105,2025-04-10,Keyboard,Electronics,East,34298.2,10,7113.14,New
ORD00106,2025-01-24,Keyboard,Electronics,South,6330.56,4,890.58,Returning
ORD00159,2025-12-11,Printer,Office Supplies,West,32620.42,7,6881.99,Returning
ORD00172,2025-01-08,Desk,Furniture,North,83881.1,5,6960.28,New
ORD00050,2025-03-24,Chair,Furniture,South,12204.35,5,1831.47,Returning
ORD00142,2025-11-20,Pen,Office Supplies,North,708.08,8,43.03,New
ORD00006,2025-10-02,Smartphone,Electronics,North,290653.56,6,67175.21,Returning
ORD00018,2025-03-22,Desk,Furniture,East,81487.9,5,12390.45,Returning
ORD00130,2025-03-02,Chair,Furniture,North,8494.02,2,2568.78,Returning
ORD00103,2025-06-11,Pen,Office Supplies,North,275.04,8,34.5,New
ORD00162,2025-03-13,Smartphone,Electronics,West,408829.36,8,57504.73,New
ORD00114,2025-07-29,Smartphone,Electronics,South,66942.6,3,14432.67,New
ORD00117,2025-02-06,Smartphone,Electronics,East,195001.29,9,18466.0,New
ORD00157,2025-08-28,Keyboard,Electronics,East,27217.2,8,3770.74,New
ORD00107,2025-01-07,Laptop,Electronics,West,420169.23,9,140011.68,New
ORD00163,2025-10-03,Laptop,Electronics,North,47174.58,1,9330.54,New
ORD00065,2025-08-04,Keyboard,Electronics,South,10349.85,7,2682.29,New
ORD00027,2025-02-06,Smartphone,Electronics,South,77426.82,6,16737.86,New
ORD00140,2025-11-29,Tablet,Electronics,East,38779.62,2,13214.59,Returning
ORD00185,2025-06-30,File Folder,Office Supplies,East,1546.86,7,411.96,Returning
ORD00224,2025-12-14,Headphones,Electronics,South,29105.5,5,8304.12,Returning
ORD00118,2025-03-05,Laptop,Electronics,,200115.42,3,45729.02,Returning
ORD00146,2025-11-09,Chair,Furniture,South,88180.0,10,9172.22,New
ORD00238,2025-08-29,Desk,Furniture,North,109055.16,9,37787.55,Returning
ORD00030,2025-07-01,Printer,Office Supplies,North,110289.76,8,11814.57,Returning
ORD00080,2025-09-02,Headphones,Electronics,North,19776.96,7,,Returning
ORD00141,2025-11-17,Smartphone,Electronics,West,291904.08,6,89848.85,Returning
ORD00132,2025-02-05,Table,Furniture,South,40493.6,4,3781.8,New
ORD00040,2025-03-03,Smartphone,Electronics,South,44839.26,3,3156.16,Returning
ORD00169,2025-03-06,Notebook,Office Supplies,East,2924.8,10,190.62,New
ORD00055,2025-04-02,File Folder,Office Supplies,West,734.31,3,215.32,New
ORD00044,2025-10-03,Laptop,Electronics,North,478770.96,8,104802.05,New
ORD00179,2025-12-02,Desk,Furniture,North,56297.25,5,13040.02,New
ORD00049,2025-11-21,Notebook,Office Supplies,North,857.05,5,107.42,New
ORD00191,2025-07-09,Pen,Office Supplies,East,264.24,9,46.49,New
ORD00060,2025-03-01,Notebook,Office Supplies,East,1295.28,9,446.02,New
ORD00144,2025-06-16,Pen,Office Supplies,North,99.86,2,25.78,New
ORD00054,2025-05-02,Notebook,Office Supplies,West,853.6,4,133.25,New
ORD00021,2025-09-08,Printer,Office Supplies,North,32108.58,3,9105.61,Returning
ORD00125,2025-03-01,Chair,Furniture,East,21302.73,9,1627.91,Returning
ORD00245,2025-08-12,File Folder,Office Supplies,North,220.48,1,32.98,Returning
ORD00241,2025-11-20,Monitor,Electronics,West,108703.89,9,26397.51,Returning
ORD00166,2025-12-18,Monitor,Electronics,East,54603.0,4,18301.1,New
ORD00077,2025-06-21,Headphones,Electronics,South,15436.7,5,4076.27,Returning
ORD00208,2025-01-30,Laptop,Electronics,West,331760.88,6,47482.4,New
ORD00108,2025-05-10,Bookshelf,Furniture,South,27755.4,5,5055.39,New
ORD00162,2025-03-13,Smartphone,Electronics,West,408829.36,8,57504.73,New
ORD00013,2025-05-16,Pen,Office Supplies,West,174.84,6,34.93,New
ORD00017,2025-12-16,Bookshelf,Furniture,North,47513.92,8,16217.62,New
ORD00048,2025-04-15,Smartphone,Electronics,South,168158.34,9,22621.82,Returning
ORD00183,2025-10-12,File Folder,Office Supplies,East,101.02,2,7.98,New
ORD00120,2025-02-16,Bookshelf,Furniture,East,8281.25,1,2238.92,New
ORD00022,2025-01-30,Laptop,Electronics,,144327.88,2,45263.61,New
ORD00147,2025-08-25,File Folder,Office Supplies,South,1164.38,7,142.34,New
ORD00204,2025-02-22,Desk,Furniture,South,73979.04,4,11452.89,New
ORD00131,2025-09-05,Notebook,Office Supplies,East,508.74,3,134.81,Returning
ORD00198,2025-07-23,Chair,Furniture,East,81330.39,9,16272.48,New
ORD00233,2025-02-26,Laptop,Electronics,South,71520.32,2,8203.12,Returning
ORD00074,2025-11-10,Printer,Office Supplies,East,97417.12,8,33742.15,Returning
ORD00031,2025-07-26,Chair,Furniture,North,46691.75,7,12547.14,New
ORD00218,2025-07-05,Pen,Office Supplies,East,165.69,9,41.61,New
ORD00034,2025-05-02,Printer,Office Supplies,North,50633.55,9,12437.8,New
ORD00181,2025-06-10,Monitor,Electronics,East,103847.6,8,27922.93,Returning
ORD00209,2025-08-25,Monitor,Electronics,North,40754.85,5,12604.46,Returning
ORD00156,2025-03-26,Tablet,Electronics,East,50572.8,4,10712.45,Returning
ORD00226,2025-11-25,File Folder,Office Supplies,East,825.12,4,75.51,New
ORD00124,2025-12-06,Notebook,Office Supplies,West,526.02,2,78.35,Returning
ORD00068,2025-05-26,Table,Furniture,South,43648.08,4,12575.91,New
ORD00164,2025-08-01,Tablet,Electronics,West,133510.16,7,33530.52,New
ORD00101,2025-12-06,Printer,Office Supplies,South,5570.11,1,648.8,Returning
ORD00150,2025-02-24,Keyboard,Electronics,West,24287.28,8,2665.9,Returning
ORD00195,2025-04-23,Smartphone,Electronics,East,205816.85,5,46913.95,New
ORD00249,2025-12-20,Smartphone,Electronics,West,242517.18,6,34425.01,New
ORD00232,2025-11-12,Keyboard,Electronics,West,20705.76,8,1897.43,Returning
ORD00062,2025-10-23,Chair,Furniture,North,55712.7,-6,8028.38,Returning
ORD00036,2025-08-05,Chair,Furniture,West,11853.09,1,1535.7,Returning
ORD00011,2025-01-29,Pen,Office Supplies,South,98.84,4,16.19,Returning
ORD00244,2025-07-02,Chair,Furniture,South,60606.0,9,3696.13,Returning
ORD00072,2025-04-23,Tablet,Electronics,North,27853.2,1,8582.47,Returning
ORD00250,2025-05-21,Table,Furniture,East,59900.28,6,16055.93,Returning
ORD00236,2025-11-11,Desk,Furniture,West,78710.1,10,7325.79,New
ORD00094,2025-08-11,Smartphone,Electronics,West,373197.09,7,89819.41,New
ORD00160,2025-12-12,Pen,Office Supplies,East,313.05,5,92.89,New
ORD00119,2025-02-11,Table,Furniture,West,68230.7,5,22707.37,Returning
ORD00145,2025-09-29,Printer,Office Supplies,South,7873.73,1,1279.11,New
ORD00215,2025-06-20,Monitor,Electronics,East,30738.9,2,5101.71,New
ORD00002,2025-04-22,Notebook,Office Supplies,North,563.4,9,99.48,New
ORD00234,2025-11-24,Printer,Office Supplies,South,36164.3,5,3130.18,Returning
ORD00084,2025-01-26,Bookshelf,Furniture,West,3045.66,1,543.91,New
ORD00243,2025-09-21,Headphones,Electronics,East,4913.77,1,1551.46,Returning
ORD00196,2025-05-11,Chair,Furniture,South,25478.2,10,2836.41,New
ORD00088,2025-10-16,File Folder,Office Supplies,West,166.69,1,20.26,New
ORD00138,2025-08-14,Printer,Office Supplies,East,30588.84,3,1869.16,New
ORD00005,2025-07-14,Keyboard,Electronics,North,3437.82,3,959.32,New
ORD00039,2025-09-18,Bookshelf,Furniture,South,46148.24,8,14112.87,New
ORD00207,2025-10-30,Monitor,Electronics,East,40789.32,3,7777.56,Returning
ORD00202,2025-06-08,Chair,Furniture,North,8866.32,2,2009.65,Returning
ORD00221,2025-12-21,Monitor,Electronics,South,89657.4,10,14615.59,New
ORD00035,2025-03-26,Tablet,Electronics,West,137989.74,7,15747.97,New
ORD00193,2025-09-06,Tablet,Electronics,West,109952.5,10,8188.65,Returning
ORD00190,2025-02-16,Tablet,Electronics,South,63979.26,3,10891.53,New
ORD00113,2025-12-05,Pen,Office Supplies,South,190.56,2,21.41,Returning
ORD00182,2025-02-16,Notebook,Office Supplies,West,686.6,5,65.77,New
ORD00184,2025-07-01,Laptop,Electronics,North,732649.8,10,160087.66,Returning
ORD00153,2025-12-14,Printer,Office Supplies,South,45925.0,4,7150.35,Returning
ORD00057,2025-04-13,Printer,Office Supplies,West,17798.46,2,1096.69,New
ORD00070,2025-08-22,Printer,Office Supplies,West,24778.28,4,1582.44,New
ORD00192,2025-03-21,Keyboard,Electronics,North,16983.06,6,3741.0,New
ORD00045,2025-07-09,Headphones,Electronics,North,19611.36,9,6471.31,New
ORD00189,2025-01-04,Tablet,Electronics,East,120269.9,5,17161.96,Returning
ORD00020,2025-07-11,Smartphone,Electronics,South,240958.9,5,48745.71,New
ORD00007,2025-12-27,Smartphone,Electronics,East,,7,14860.19,New
ORD00056,2025-03-23,Pen,Office Supplies,South,482.46,6,83.71,Returning
ORD00076,2025-11-17,Table,Furniture,East,72003.8,5,21742.19,Returning
ORD00001,2025-02-22,Notebook,Office Supplies,South,93.0,2,12.32,New
ORD00173,2025-03-06,Monitor,Electronics,East,63331.16,4,3466.39,New
ORD00136,2025-07-30,File Folder,Office Supplies,West,983.08,4,119.58,New
ORD00128,2025-03-04,Headphones,Electronics,West,18279.7,5,6001.26,Returning
ORD00177,2025-11-08,Smartphone,Electronics,North,341066.08,8,62438.52,Returning
ORD00069,2025-04-26,Desk,Furniture,South,93630.1,10,27670.23,Returning
ORD00231,2025-01-20,Monitor,Electronics,South,39175.28,2,9597.48,New
ORD00168,2025-11-25,Headphones,Electronics,North,11469.72,2,3409.46,New
ORD00137,2025-12-06,Laptop,Electronics,West,388729.26,6,101679.28,Returning
ORD00219,2025-04-26,Keyboard,Electronics,West,10060.53,3,1534.43,New
ORD00043,2025-02-07,Keyboard,Electronics,West,6248.41,7,1522.43,Returning
ORD00111,2025-08-19,Smartphone,Electronics,South,403839.63,9,93648.51,Returning
ORD00090,2025-04-12,Keyboard,Electronics,West,4472.1,2,1469.83,Returning
ORD00073,2025-03-10,Tablet,Electronics,North,173619.0,9,,Returning
ORD00024,2025-09-28,Printer,Office Supplies,South,17929.5,3,3452.95,Returning
ORD00143,2025-11-21,Notebook,Office Supplies,West,,5,410.13,New
ORD00186,2025-02-25,Smartphone,Electronics,West,338187.4,10,32607.71,New
ORD00093,2025-09-08,Chair,Furniture,North,16137.42,6,3941.77,Returning
ORD00104,2025-09-05,Smartphone,Electronics,South,475989.66,9,122352.7,New
ORD00152,2025-05-27,Chair,Furniture,North,10404.9,5,3220.53,Returning
ORD00212,2025-05-07,Smartphone,Electronics,South,325455.48,6,24506.39,New
ORD00068,2025-05-26,Table,Furniture,South,43648.08,4,12575.91,New
ORD00247,2025-02-10,Table,Furniture,North,101415.0,6,20869.46,Returning
ORD00026,2025-04-26,Notebook,Office Supplies,North,923.46,6,189.56,New
ORD00197,2025-03-08,Keyboard,Electronics,West,5159.7,6,1027.89,New
ORD00176,2025-12-18,Notebook,Office Supplies,West,55.81,1,10.81,Returning
